tag,key_no,pavillon,local,utilisation,departement,quantite,remarque
60,180,(J) Judith-Jasmin ,J-R308/J-R323,Arts médiatiques,Arts plastiques,,
60,J82094,(J) Judith-Jasmin ,J-R308/J-R324,Arts médiatiques,Arts plastiques,,
60,405,(J) Judith-Jasmin ,J-R308/J-R325,Arts médiatiques,Arts plastiques,,
61,SSA37,(PK) Président-Kennedy ,PK,,Sc de la terre,,
62,12,(J) Judith-Jasmin ,J-2430,Disque dur ordi. meuble multimédia,Atelier-J. Desrochers,,
63,ZLU,(J) Judith-Jasmin ,J-3,Master pour les salles de montage vidéo,,,
63,301H,(J) Judith-Jasmin ,J-3,3e étage du Jasmin pour les locaux de ,,,
63,L5037,(J) Judith-Jasmin ,,montage vidéo,,,
63,716005 (2770),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,129,(J) Judith-Jasmin ,,montage vidéo,,,
63,506 (1102),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,2233 (2770),(J) Judith-Jasmin ,,montage vidéo,,,
63,520,(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,J85145 (840),(J) Judith-Jasmin ,,montage vidéo,,,
63,J85054 (838),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,J74857 (842),(J) Judith-Jasmin ,,montage vidéo,,,
63,J82505 (685),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,J74593 (660),(J) Judith-Jasmin ,,montage vidéo,,,
63,J77114 (837),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,J87104 (555),(J) Judith-Jasmin ,,montage vidéo,,,
63,J87104 (555),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,530,(J) Judith-Jasmin ,,montage vidéo,,,
63,V79120 (670),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,V81561 (841),(J) Judith-Jasmin ,,montage vidéo,,,
63,V76978 (730),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,V85036 (565),(J) Judith-Jasmin ,,montage vidéo,,,
63,V77128 (774),(J) Judith-Jasmin ,,3e étage du Jasmin pour les locaux de ,,,
63,68 (775),(J) Judith-Jasmin ,,montage vidéo,,,
64,,(J) Judith-Jasmin ,J,ILOK,Communications,,
64,,(J) Judith-Jasmin ,J,ILOK,Communications,,
64,J81885,(J) Judith-Jasmin ,J-3325,,Communications,,
64,LA-CIE,(J) Judith-Jasmin ,J-3325,DISQUE DUR,Communications,,
64,ZL2D,(J) Judith-Jasmin ,J-3330,Accès,Communications,,
64,J77027,(J) Judith-Jasmin ,J-3330,MBOX ,Communications,,
64,J77027,(J) Judith-Jasmin ,J-3330,MBOX ,Communications,,
64,ZL2D,(J) Judith-Jasmin ,J-3560,Montage Pro Tools,Communications,,
64,,(J) Judith-Jasmin ,J-3725,ORDI,Communications,,
64,2036,(J) Judith-Jasmin ,J-3725,PROJO,Communications,,
64,2036,(J) Judith-Jasmin ,J-3725,PROJO,Communications,,
64,J82523,(J) Judith-Jasmin ,J-3825,MBOX ,Communications,,
64,J82523,(J) Judith-Jasmin ,J-3825,MBOX ,Communications,,
64,,(J) Judith-Jasmin ,J-3861,ORDI,Communications,,
65,LT23,(J) Judith-Jasmin ,J-1120,Laboratoire,ARC,,
66,ZL2H79,(J) Judith-Jasmin ,J-1250,Multimédia,Communication,,
66,560,(J) Judith-Jasmin ,J-1250,,,,
66,ZL2H79,(J) Judith-Jasmin ,J-1340,Multimédia,Communication,,
66,ZL2H79,(J) Judith-Jasmin ,J-1345,Multimédia,Communication,,
66,560,(J) Judith-Jasmin ,J-1345,Communication,,,
66,ZL2H79,(J) Judith-Jasmin ,J-1346,Multimédia,Communication,,
66,402,(J) Judith-Jasmin ,,,,,
66,549,(J) Judith-Jasmin ,,,,,
66,062452 X2,(J) Judith-Jasmin ,,,,,
67,L2H5,(J) Judith-Jasmin ,J-4315,Atelier de journalisme,Communications,,
68,DR16,(R) Sciences de la gestion ,R-2155,Salle Bell,Sc de la gestion,,
68,SR27,(R) Sciences de la gestion ,R-2155,Salle Bell,Sc de la gestion,,
68,L5007 X2,,,,,,
69,Z3DL,(A) Hubert-Aquin,Bibliothèque ,Salles de travaux d'équipe,Bibliothèque ,,
69,Z3DM ,(A) Hubert-Aquin,Bibliothèque ,Salles de travaux d'équipe,Bibliothèque ,,
70,YAB7,(PK) Président-Kennedy ,PK-3210,,,,
71,,(J) Judith-Jasmin ,J-R315,Clé technique du meuble AV,EAVM,,
72,GL25,(W) Thérèse-Casgrain,W-R530,,,,À confirmer si la bonne clé
72,GL33,(W) Thérèse-Casgrain,W-R530,Labo Fernet,Sexologie,,
73,,(W) Thérèse-Casgrain,W-5230,Clé pour les cadenas (Moniteur),Philosophie,,
74,PL42,(J) Judith-Jasmin ,J-2210,Salles de cours,,,
74,PL42,(J) Judith-Jasmin ,J-2210,Porte J-2210 Tech.,SAV ,,
75,TARGUS,(DE) Design,DE-1590,ZP21,,,
75,J72728,,,,,,
76,J79283,(J) Judith-Jasmin ,J-R260,Sécuriration iMac,EAVM,,Cadena Targus
77,clé targa,(A) Hubert-Aquin,A-1330,Projecteur,,,
77,80,,,,,,
77,75,,,,,,
77,45,,,,,,
77,60,,,,,,
78,Kensington,(DS) J.-A. DeSève,DS-R520,Clé de cadena pour projecteur,,,
79,V3,,,Dépôt temporaire inventaire,,,
80,Kensington V83701,(J) Judith-Jasmin ,J-1950,Clé de cadena pour projecteur,,2,
81,501,(R) Sciences de la gestion ,R-3610/R-4875,,,2,Clé de cabinets
82,Kensington,(N) Paul-Gérin-Lajoie,N-M110,Clé de cadena pour projecteur,,,
83,91188 X2,(PK) Président-Kennedy ,PK-2818,LCD PHILLIP,,,
83,91115 X2,(PK) Président-Kennedy ,PK-2818,Codec Tandberg,,,
84,IVB 279,(R) Sciences de la gestion ,R-M545,,,,Local de dépôt à l'arrière du moniteur
85,203560 X2,(R) Sciences de la gestion ,R-2120,PROJO,,,
85,022716 X2,(R) Sciences de la gestion ,R-2120,WOLF VISION,,,
86,372919 X2,(R) Sciences de la gestion ,R-M140,WOLF VISION,,,
87,J72124 X3,(J) Judith-Jasmin ,j,BAC 2,,,
87,J73328 X2,(J) Judith-Jasmin ,j,BAC 3,,,
87,V8105,(J) Judith-Jasmin ,J-3325,LACIE,,,
87,BJ57,,,,,,
87,APPLE 2 X2,,,,,,
88,V37,(R) Sciences de la gestion ,R-1950,Dépôt temporaire inventaire,SAV ,2,
89,LU9,(J) Judith-Jasmin ,J-1150,,,,
90,SR59,(DE) Design,DE-4580,Meulbe multimédia,École de design,,
91,V70370,(PK) Président-Kennedy ,PKS-1585,,,,
92,V79951,(PK) Président-Kennedy ,PKS-1565,,,,
93,Targus V82964,(A) Hubert-Aquin,A-2805,Clé pour sécurier le moniteur,,,
94,Targus J83715,(A) Hubert-Aquin,A-2815,Clé pour sécurier le moniteur,,,
95,C2E40,(V) Sainte-Catherine,MICC ,,MICC,,
95,C2G17,(V) Sainte-Catherine,V-3820 / MICC,,MICC,,
96,DJ45,(J) Judith-Jasmin ,j,MONTE CHARGE,,,
97,V90416,(R) Sciences de la gestion ,R-4880,Clé de cadena Kennsington,,,
98,V37,(J) Judith-Jasmin ,J-1050,Local d'entreposage temporaire,,,
99,PE49,,,Clé de chantier,,,
100,Kensington,(J) Judith-Jasmin ,J-5245,Projecteur,,,
101,107,,,,,,
101,38,,,,,,
101,3072,,,,,,
102,127,,,,,,
102,0448,,,,,,
103,75,,,,,,
103,0448,,,,,,
104,29,,,,,,
104,3072,,,,,,
105,131,,,,,,
105,3072,,,,,,
106,24,,,,,,
106,0448,,,,,,
107,22,,,,,,
107,3098,,,,,,
108,138,,,,,,
108,3098,,,,,,
109,43,,,,,,
109,3098,,,,,,
110,,(W) Thérèse-Casgrain,W-5230,Cadenas de support de moniteur ,,,
111,,(J) Judith-Jasmin ,J-3825,ORDI,Communications,,
112,12 X2,(J) Judith-Jasmin ,J-3620/3861,Hexagram,,,
113,,,,,,,
114,165,(J) Judith-Jasmin ,J-3620/3861,Hexagram,,,
115,FA73,,,,,,
115,25,,,,,,
115,101 X2,,,,,,
116,91037 X2,(N) Paul-Gérin-Lajoie,N-3780,Manette CTRL caméra,Éducation,,
117,TARGUS X2,(DS) J.-A. DeSève,DS-1950,Kensington Projo,,,
117,,,,,,,
118,PL42,(J) Judith-Jasmin ,J-2391,118 = TROUSSEAU DE SECOURS ATELIER,,,Manquant
118,45LK7,(J) Judith-Jasmin ,J-2391,118 = TROUSSEAU DE SECOURS ATELIER,,,Manquant
118,45LK9,(J) Judith-Jasmin ,J-2391,118 = TROUSSEAU DE SECOURS ATELIER,,,Manquant
118,451LJ18,(J) Judith-Jasmin ,J-2391,118= TROUSSEAU DE SECOURS ATELIER,,,Manquant
118,45LK36,(J) Judith-Jasmin ,J-2391,118 = TROUSSEAU DE SECOURS ATELIER,,,Manquant
118,SMHJ,(J) Judith-Jasmin ,J-2391,118 = TROUSSEAU DE SECOURS ATELIER,,,Manquant
118,242,(J) Judith-Jasmin ,J-2391,118 = TROUSSEAU DE SECOURS ATELIER,,,Manquant
119,,,,,,,
120,LF14,(J) Judith-Jasmin ,J-2805,Boiseries,SAV,,
120,DJ37,(J) Judith-Jasmin ,J-2805,Boiseries,,,
121,C2G 5/C2G 11/ C2G 17,(V) Sainte-Catherine,MICC ,MIC,,,
122,LD40,(J) Judith-Jasmin ,J-4255,,,,
122,HJ1,(J) Judith-Jasmin ,J-4256,,,,
122,91550 X2,,,,,,
123,V72440,(R) Sciences de la gestion ,R-5670,Kensington projecteur,SMQ,,
124,CHI3A,(DS) J.-A. DeSève,DS-R200,Tirroir,Radio ChoQ FM,,
124,C415A,(DS) J.-A. DeSève,DS-R200,Tirroir,,,
125,L54672,(R) Sciences de la gestion ,R-1925,Clé pour projecteur ,ESG +,,
125, L64322 ,(R) Sciences de la gestion ,R-1935  ,Clé pour projecteur ,ESG +,,
125,L5009,(R) Sciences de la gestion ,R-1936,,,,À confirmer
126,,,,,,,
127,,,,,,,
128,100 X2,,,,,,
129,1001,(A) Hubert-Aquin,A-1925,Sécurisation projo,Sciences humaines,,
129,1001,(A) Hubert-Aquin,A-1930,Sécurisation projo,Sciences humaines,,
130,LY44,(J) Judith-Jasmin ,J-R535,,Histoire de l'art,,
130,188,(J) Judith-Jasmin ,J-R535,BAC,,,
130,J71824,(J) Judith-Jasmin ,J-R535,BAC,,,
130,J83797,,,MEUBLE INFORMATIQUE,,,
130,T01340,(J) Judith-Jasmin ,J-2135,Clé pour Mac mini et Apple TV,,,
130,T00110,(J) Judith-Jasmin ,J-2135,Clé pour Mac mini et Apple TV,,,
131,V74563 X2,(J) Judith-Jasmin ,J-2130,,,,
131,3072,(J) Judith-Jasmin ,J-2130,,Théâtre,,
132,BV644A-RD,(CS)Centre sportif ,CS-S2040,Meuble Middle Altantic ,,,
133,J90305,(R) Sciences de la gestion ,R-2120,,,,
133,V74720,(R) Sciences de la gestion ,R-2205,,,,
133,L5005,(R) Sciences de la gestion ,R-2240,Kensington smart podium,ESG,,
134,056294,,,LAP TOP MAC,,,
135,B644A,,,RAC 1 ET 2,,,
136,223733,(R) Sciences de la gestion ,R-M160,Kensington projecteur,,,1 copie dans le meuble
137,D205A,(J) Judith-Jasmin ,Studio,Cabinet technique studio,SAV,,
137,D193A,,,,,,
138,,,,,,,
139,,,,,,,
140,DE2260 X2,,,MAC MINI,,,
141,19068,(J) Judith-Jasmin ,J-3140,Clé Targus sécurisation MAC,École Supérieur de dance,2,
142,J83356 X2,(J) Judith-Jasmin ,J-4285,,CRILQ,,
143,J726,(PK) Président-Kennedy ,SALLE A,Clés kensington Projo,Labo Lamiss,,ARMOIRE PK-2720 8/4/2015
143,J718,(PK) Président-Kennedy ,SALLE B,Clés kensington Projo,Labo Lamiss,,ARMOIRE PK-2720 8/4/2015
143,J717,(PK) Président-Kennedy ,SALLE C,Clés kensington Projo,Labo Lamiss,,ARMOIRE PK-2720 8/4/2015
143,J718,(PK) Président-Kennedy ,SALLE G,Clés kensington Projo,Labo Lamiss,,ARMOIRE PK-2720 8/4/2015
144,23313,,Tous,Panneaux contrôle altel,UQAM,,
145,D2L 4,(JE)Judith-Jasmin Annexe,JE-3401 ,Régie Vidéo,,,
145,D2M 8,(JE)Judith-Jasmin Annexe,JE-3401 ,Régie Vidéo,,2,
145,PL49,(JE)Judith-Jasmin Annexe,JE-3401 ,Régie Vidéo,,,
145,D2L 3,(JE)Judith-Jasmin Annexe,JE-3401 ,Régie Vidéo,,,
145,PL50,(JE)Judith-Jasmin Annexe,JE-3401 ,Régie Vidéo,,,
145,J89898,(JE)Judith-Jasmin Annexe,JE-3401 ,Clé de cadena Kensington (MAC Lutrin),,,
146,408840,(A) Hubert-Aquin,A-1824,,,,
147,1VB88,(A) Hubert-Aquin,A-,Porte salles Aquin,,,
147,EE69,,,,,,
148,100 X2,(DS) J.-A. DeSève,DS-2190,,,,
149,8035 X2,(J) Judith-Jasmin ,J-4435,EXT USB,,,
150,131360,(PK) Président-Kennedy ,PK-6665,,,,
151,45LK12,(DS) J.-A. DeSève,DS-R000,Clé pour accès au mur vidéo,,,
152,SBSNG,,,SALLES DE COURS,,,
153,1VB88,,,,,,
153,EE69,,,,,,
154,V89814 X2,(A) Hubert-Aquin,A-2285,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,CH510,,,ARMOIRE,,,
159,L5008,(DS) J.-A. DeSève,DS-R910,,,,
160,152260,(DS) J.-A. DeSève,DS-M920,,,,
160,270245,(DS) J.-A. DeSève,DS-M940,,,,
160,231199,(DS) J.-A. DeSève,DS-M945,PROJO,,,
160,166682,(DS) J.-A. DeSève,DS-R930,,,,
160,412681,(DS) J.-A. DeSève,DS-R940,,,,
161,L5008,(DS) J.-A. DeSève,DS-R910,,,,
162,YEE18,(PK) Président-Kennedy ,PK-4285,,,,
163,J89173 ,(A) Hubert-Aquin,A-1840,MONITEUR AQUIN,,,
163,J89174,(A) Hubert-Aquin,A-2140,MONITEUR AQUIN,,,
164,1VB88,,,,,,
164,EE69,,,,,,
165,1VB88,,,,,,
165,EE69,,,,,,
